match_id,patch,team_a_1,team_a_2,team_a_3,team_a_4,team_a_5,team_b_1,team_b_2,team_b_3,team_b_4,team_b_5,team_a_win
NA1_5507923771,16.5,Khazix,Lucian,Shen,Sona,Xerath,Nami,Ryze,Twitch,XinZhao,Ziggs,0
NA1_5505704406,16.5,Akali,DrMundo,Qiyana,Senna,TwistedFate,Galio,Mel,Neeko,Shen,Viego,0
NA1_5509065420,16.5,Ambessa,Aphelios,Leona,Lux,Rammus,Jinx,Lulu,Mel,Vladimir,Warwick,1
NA1_5506450635,16.5,Annie,DrMundo,Jinx,Nautilus,Talon,Ezreal,Jax,Katarina,Pyke,RekSai,0
NA1_5509635659,16.5,Ekko,Graves,Malphite,Senna,Volibear,Mel,Naafiri,Rengar,Thresh,Twitch,1
NA1_5509464282,16.5,Ezreal,Irelia,JarvanIV,Viktor,Yuumi,Gnar,Lissandra,Pantheon,Viego,Yasuo,0
NA1_5509215453,16.5,Aphelios,Braum,Gwen,Sejuani,Yone,Diana,Ezreal,Mel,Ornn,Zaahen,0
NA1_5509075121,16.5,Alistar,Corki,Kled,RekSai,Yasuo,Caitlyn,JarvanIV,Katarina,Kennen,Leona,0
NA1_5507625830,16.5,AurelionSol,Seraphine,Sona,Yone,Zaahen,Karma,Pantheon,RekSai,Sivir,Volibear,0
NA1_5507149081,16.5,Aatrox,Ahri,Alistar,Elise,Smolder,Briar,Corki,Malzahar,Nami,Renekton,0
NA1_5505864575,16.5,Aatrox,Diana,Heimerdinger,LeeSin,Poppy,Pantheon,Samira,Tristana,Velkoz,Viego,1
NA1_5509484000,16.5,Ahri,Fizz,Nasus,Thresh,Tristana,Ekko,Janna,KSante,Lucian,Taliyah,0
NA1_5508714142,16.5,Ambessa,Jinx,Ornn,Thresh,Veigar,Fiora,Kaisa,Naafiri,Nautilus,RekSai,1
NA1_5510290317,16.5,DrMundo,Jayce,Lux,Nami,Yasuo,KSante,Leblanc,LeeSin,Nautilus,Ziggs,0
NA1_5507997957,16.5,Alistar,Chogath,Kaisa,LeeSin,Shen,Corki,DrMundo,Katarina,Nami,RekSai,1
NA1_5508465637,16.5,AurelionSol,Karma,Malphite,Samira,Zaahen,Garen,JarvanIV,Orianna,Pyke,Sivir,1
NA1_5505753156,16.5,Aatrox,JarvanIV,Ryze,Ziggs,Zyra,Amumu,FiddleSticks,Jinx,Lux,Zac,0
NA1_5508224626,16.5,Camille,Janna,Jax,Jinx,Taliyah,Kaisa,Malphite,Nami,Yasuo,Zyra,1
NA1_5505758888,16.5,Diana,Milio,Orianna,Rumble,Varus,DrMundo,Hwei,Senna,TahmKench,Zaahen,0
NA1_5509341354,16.5,Aphelios,DrMundo,Fizz,Janna,Veigar,Nunu,Pyke,Tristana,Viktor,Warwick,0
NA1_5509927570,16.5,Akshan,Aurora,JarvanIV,Lucian,Swain,Alistar,Kassadin,Talon,Tristana,Urgot,1
NA1_5506788421,16.5,Jhin,Lissandra,Nami,Qiyana,Shen,Jinx,Kled,Leblanc,LeeSin,Swain,1
NA1_5509849442,16.5,Alistar,Evelynn,Senna,Sylas,Zed,DrMundo,Katarina,Kennen,Sivir,Zilean,0
NA1_5505704998,16.5,Ezreal,Fiora,Leblanc,Rengar,Senna,Gwen,Khazix,Tryndamere,Yasuo,Zilean,1
NA1_5507522899,16.5,Graves,Qiyana,Sona,Vladimir,Zeri,Lillia,Lulu,Sett,Xayah,Yone,1
NA1_5510434147,16.5,Akali,AurelionSol,Graves,Leona,Vayne,Camille,Evelynn,Jhin,Nautilus,Yone,1
NA1_5508483563,16.5,AurelionSol,Jax,Naafiri,Tristana,Trundle,Azir,Corki,MasterYi,Rakan,Zaahen,0
NA1_5509072911,16.5,Ahri,Bard,Kayle,Pantheon,Yunara,Briar,Garen,Janna,Jhin,Zoe,0
NA1_5507890500,16.5,Graves,Lulu,Sett,Sivir,Viktor,JarvanIV,Kled,Senna,Sylas,Thresh,0
NA1_5509152156,16.5,Draven,JarvanIV,Riven,Syndra,Velkoz,Jhin,Kayle,Sion,TahmKench,Viego,1
NA1_5507861540,16.5,Ambessa,Blitzcrank,Lucian,Orianna,Singed,Gwen,Jhin,Leona,MonkeyKing,Viktor,0
NA1_5506809733,16.5,Jax,Kayn,Lux,Rakan,Smolder,Kaisa,Nami,Nasus,Talon,Viktor,0
NA1_5508729827,16.5,Ahri,Caitlyn,Karma,LeeSin,MonkeyKing,Graves,Hwei,Janna,Urgot,Zeri,1
NA1_5508061908,16.5,Aphelios,Darius,Garen,Malzahar,Rakan,Kayn,Maokai,Samira,Syndra,Volibear,1
LA1_1700279969,16.5,Akali,Kayn,Ornn,Soraka,Varus,Brand,Janna,Jinx,Renekton,Zyra,0
NA1_5506949943,16.5,Darius,Karma,MasterYi,Seraphine,Veigar,Kassadin,MissFortune,Sejuani,Smolder,Zaahen,1
NA1_5508359449,16.5,Anivia,Blitzcrank,Draven,Malphite,Sion,DrMundo,Karma,Ornn,Xayah,Ziggs,1
NA1_5508203610,16.5,Brand,LeeSin,Seraphine,Smolder,Viktor,Kindred,Nami,Olaf,Veigar,Vladimir,0
NA1_5505725895,16.5,Akali,Leona,Nilah,Sylas,TahmKench,Jhin,Olaf,RekSai,Zaahen,Zilean,0
NA1_5506161537,16.5,Draven,Gragas,LeeSin,Nami,Ornn,Nasus,Nautilus,Sett,Veigar,Viego,1
NA1_5509078193,16.5,Draven,Jax,Karma,MasterYi,Sylas,Jhin,KSante,Maokai,Nami,Twitch,0
NA1_5507101754,16.5,Anivia,Blitzcrank,Kaisa,Katarina,RekSai,Ezreal,Nocturne,Rumble,Syndra,Thresh,1
NA1_5510358103,16.5,Evelynn,Maokai,Pantheon,Sivir,Soraka,Kaisa,Kayn,Ryze,Thresh,Velkoz,0
NA1_5509251388,16.5,Aatrox,Jhin,Kayle,Poppy,Yorick,Ezreal,Karma,Singed,Syndra,Udyr,0
NA1_5508672281,16.5,Jayce,Kennen,Lulu,Syndra,Yunara,Lillia,Sion,Yasuo,Yuumi,Zoe,0
