match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
NA1_5511360205,16.5,Aatrox,Khazix,Viktor,Malzahar,Soraka,Aurora,Graves,DrMundo,Tristana,Lulu,0.5306122448979592,0.6666666666666666,0.5379746835443038,0.4938650306748466,0.5384615384615384,0.631578947368421,0.49698795180722893,0.7619047619047619,0.5340909090909091,0.503957783641161,196,39,158,326,52,57,332,63,176,379,0.5535160328490629,0.5857040707624963,-0.03218803791343339,0
NA1_5511209982,16.5,Rumble,Graves,Fizz,Corki,Bard,Galio,MasterYi,Ryze,Jinx,Rakan,0.5698924731182796,0.4879518072289157,0.4959677419354839,0.5346534653465347,0.6065573770491803,0.5306122448979592,0.5333333333333333,0.5182012847965739,0.5427631578947368,0.5375,279,332,496,101,122,196,315,467,304,240,0.5390045729356788,0.5324820041845206,0.0065225687511581976,1
NA1_5511181917,16.5,Galio,XinZhao,Taliyah,Tristana,Bard,Shaco,Graves,Kassadin,Lux,Maokai,0.5306122448979592,0.5241635687732342,0.5428571428571428,0.505586592178771,0.4975609756097561,0.5,0.5202020202020202,0.49101796407185627,0.5136612021857924,0.5295358649789029,196,269,175,1074,205,360,198,334,183,474,0.5201561048633726,0.5108834102877143,0.009272694575658269,1
NA1_5511163782,16.5,Zaahen,Nidalee,Nasus,Tristana,Sona,Shaco,Naafiri,Seraphine,Kaisa,Taric,0.5306122448979592,0.5384615384615384,0.5107361963190185,0.5260416666666666,0.5533333333333333,0.5,0.5388127853881278,0.5434083601286174,0.5136612021857924,0.5227963525835866,196,169,652,192,300,360,219,311,183,329,0.5318369959357032,0.5237357400572249,0.00810125587847832,1
NA1_5511136814,16.5,Kled,Graves,Malzahar,Aphelios,Sona,Gragas,Taric,Yasuo,Ashe,Lulu,0.5037593984962406,0.5458015267175572,0.5094339622641509,0.5096774193548387,0.5133928571428571,0.5306122448979592,0.5191256830601093,0.5373134328358209,0.5060240963855421,0.5301204819277109,266,262,424,465,224,196,183,268,249,332,0.516413032795129,0.5246391878214285,-0.008226155026299531,0
NA1_5511116429,16.5,Zaahen,Talon,Zoe,Samira,Leona,Shen,Elise,Taliyah,Varus,Alistar,0.5306122448979592,0.6068702290076335,0.5261194029850746,0.4967462039045553,0.547486033519553,0.5373134328358209,0.5460122699386503,0.5736434108527132,0.5658914728682171,0.5064935064935064,196,262,536,461,179,268,163,129,129,231,0.5415668228629552,0.5458708185977816,-0.004303995734826427,0
NA1_5511098932,16.5,Gragas,Nasus,Viktor,Senna,Swain,Shen,Shaco,Orianna,Jhin,Morgana,0.5306122448979592,0.8260869565217391,0.5139664804469274,0.6461538461538462,0.49588477366255146,0.5097493036211699,0.5078740157480315,0.5234899328859061,0.5233265720081136,0.5147058823529411,196,23,358,65,486,359,508,149,493,340,0.6025408603366047,0.5158291413232324,0.08671171901337227,0
NA1_5510879759,16.5,TwistedFate,JarvanIV,Jayce,Swain,Nami,Ambessa,Elise,Talon,Tristana,Karma,0.5254901960784314,0.5194805194805194,0.6153846153846154,0.5268542199488491,0.6774193548387096,0.5378151260504201,0.78125,0.6556603773584906,0.8048780487804879,0.5306122448979592,255,308,117,391,124,238,32,212,41,196,0.5729257811462249,0.6620431594174716,-0.08911737827124666,1
NA1_5510864054,16.5,Zaahen,Ekko,Corki,Swain,Nami,Mordekaiser,LeeSin,Neeko,Twitch,Janna,0.5306122448979592,0.6071428571428571,0.6183574879227053,0.5268542199488491,0.5115089514066496,0.5124282982791587,0.4975124378109453,0.48344370860927155,0.5616883116883117,0.5523809523809524,196,28,207,391,391,523,201,302,308,210,0.5588951522638042,0.521490741753728,0.03740441051007615,0
NA1_5510839678,16.5,Olaf,Elise,Yasuo,Ezreal,Rell,Zaahen,Graves,Viktor,Jinx,Neeko,0.5247058823529411,0.5041666666666667,0.49502487562189057,0.591304347826087,0.5104895104895105,0.5306122448979592,0.4930875576036866,0.5397350993377483,0.5468277945619335,0.5434782608695652,425,240,402,115,286,196,217,302,331,230,0.5251382565914191,0.5307481914541785,-0.0056099348627594026,0
